Date,Severity,Size,Intensity
2018-02-27,S1,9282150.666388843,14241557.394982636
2018-02-27,S2,200771.29390070515,440768.0341547784
2018-02-28,S1,8043357.7939073285,12547749.631742984
2018-02-28,S2,136782.34044624484,331864.9190298472
2018-03-01,S1,7814167.616161805,11971878.740880266
2018-03-01,S2,174638.53368773044,436596.3695638049
2018-03-02,S1,7579044.12736529,11732821.968438132
2018-03-02,S2,352692.0308617806,838952.2815352448
2018-03-03,S1,7002904.4241374,11342050.025447031
2018-03-03,S2,340689.4098763398,810933.7053622808
2018-03-04,S1,17147060.158192117,28363489.20282481
2018-03-04,S2,364155.34828383004,891682.2804857525
2018-03-05,S1,9542467.263059407,15760751.248677341
2018-03-05,S2,412671.25001057977,1045959.3903005183
2018-03-06,S1,9433669.18626212,15781901.613598084
2018-03-06,S2,638062.7839349299,1630878.5228440335
2018-03-07,S1,9116446.442322517,15138069.43086053
2018-03-07,S2,621347.6198080485,1609694.0443558926
2018-03-08,S1,9841790.610935898,16131594.564573623
2018-03-08,S2,774879.3007512605,1941633.2737318282
2018-03-09,S1,9641915.208423618,15987641.963707462
2018-03-09,S2,676543.0582087317,1665229.0496119482
2018-03-10,S1,9269679.406209717,15376108.890164033
2018-03-10,S2,631116.0173147934,1539963.0499862118
2018-03-11,S1,8786187.329606898,14661885.849685377
2018-03-11,S2,593963.5269813532,1470764.4983161811
2018-03-12,S1,7635705.65085962,12650647.141675709
2018-03-12,S2,421235.3414893928,1069171.457826022
2018-03-13,S1,7656470.060748766,12262316.926158123
2018-03-13,S2,428066.3993414923,1048327.9831760486
2018-03-14,S1,7770196.854026011,12396051.118031498
2018-03-14,S2,315661.20242618804,777482.2387550031
2018-03-15,S1,7816217.063509289,12303783.290366892
2018-03-15,S2,202029.61342427167,518287.46116797795
2018-03-16,S1,5980951.852773004,8975070.303857205
2018-03-16,S2,165116.3991748073,405728.7049688576
2018-03-17,S1,8015844.9159864755,12354414.39614709
2018-03-17,S2,168765.65441218292,473214.1700535146
2018-03-18,S1,7779848.063975244,11941561.279849889
