lon,lat,year,max_intensity
152.125,-44.875,2016,234.4096
152.125,-44.625,2019,151.339
152.125,-44.375,2019,144.701
152.125,-44.125,2019,120.1975
152.125,-43.875,2016,151.9009
152.125,-43.625,2015,263.1611
152.125,-43.375,2016,508.2332
152.125,-43.125,2015,397.9355
152.125,-42.875,2015,407.0051
152.125,-42.625,2015,377.5452
152.125,-42.375,2015,293.4576
152.125,-42.125,2015,295.8038
152.125,-41.875,2015,368.121
152.125,-41.625,2017,221.7113
152.125,-41.375,2014,211.8108
152.125,-41.125,2014,275.9568
152.125,-40.875,2014,264.9117
152.125,-40.625,2014,251.4482
152.125,-40.375,2017,349.1166
152.125,-40.125,2017,372.3853
152.125,-39.875,2017,349.1195
152.125,-39.625,2017,319.4675
152.125,-39.375,2016,349.2429
152.125,-39.125,2016,359.2846
152.125,-38.875,2016,341.0871
152.125,-38.625,2016,263.4292
152.125,-38.375,2016,221.5996
152.125,-38.125,2014,214.6294
152.125,-37.875,2014,187.6122
152.125,-37.625,2014,175.906
152.125,-37.375,2014,173.7266
152.125,-37.125,2014,189.4432
152.125,-36.875,2014,240.1657
152.125,-36.625,2014,210.2394
152.125,-36.375,2016,163.832
152.125,-36.125,2016,151.7939
152.125,-35.875,2016,141.7405
152.125,-35.625,2016,134.3755
152.125,-35.375,2019,137.7538
152.125,-35.125,2019,139.8074
152.125,-34.875,2014,148.1876
152.125,-34.625,2019,148.6821
152.125,-34.375,2019,153.6648
152.125,-34.125,2014,166.9425
152.125,-33.875,2016,207.2797
152.125,-33.625,2014,153.2907
152.125,-33.375,2016,124.8386
152.125,-33.125,2014,93.8516
152.125,-32.875,2001,64.2214
152.375,-54.875,1986,69.1562
152.375,-54.625,1986,68.7806
152.375,-54.375,1986,64.2479
152.375,-54.125,2002,64.0328
152.375,-53.875,2002,73.9033
152.375,-53.625,2002,71.6099
152.375,-53.375,2019,70.5879
152.375,-53.125,2017,77.7001
152.375,-52.875,2002,99.0626
152.375,-52.625,2002,98.5657
152.375,-52.375,2002,102.4725
152.375,-52.125,2002,96.1216
152.375,-51.875,2014,68.3812
152.375,-51.625,2018,109.4538
152.375,-51.375,1989,112.2697
